Index, CenterX, CenterY, CenterZ, NormalX, NormalY, NormalZ, RMS, Horiz_ext, Vert_ext, Surf_ext, Surface, Dip dir., Dip
1843,950.956,819.905,896.719,-0.847318,0.494162,0.194567,0.0215882,1.22296,0.571288,0.698661,0.437512,300,78
1765,950.44,816.564,893.986,0.533673,-0.809942,-0.243285,0.0125959,0.247306,0.215824,0.0533745,0.0439357,326,75
1763,952.894,821.621,893.169,-0.741841,0.443463,-0.503003,0.0179168,0.495738,0.462953,0.229503,0.112891,120,59
1761,938.84,808.358,893.09,-0.835833,0.548895,-0.00989779,0.013919,0.584045,0.237133,0.138497,0.0934925,123,89
1760,949.16,816.472,897.811,-0.755,0.392256,-0.525462,0.0242715,0.863696,0.467655,0.403912,0.300928,117,58
1758,946.471,811.026,893.951,0.428121,-0.888443,-0.165471,0.00858668,0.202787,0.144699,0.0293431,0.0242192,334,80
1756,942.897,809.087,894.534,-0.230904,-0.913809,-0.334119,0.0156082,0.193347,0.177698,0.0343573,0.0286486,14,70
1755,946.424,810.841,894.32,-0.968292,0.180341,-0.172879,0.0135585,0.173342,0.171467,0.0297224,0.0232373,100,80
1752,949.212,814.4,894.582,-0.948714,0.297293,0.107513,0.0157717,0.292215,0.422859,0.123566,0.05728,287,83
1750,942.47,808.874,894.007,-0.472895,-0.876609,0.0890337,0.0241243,0.862691,0.99418,0.857671,0.375254,208,84
1749,950.631,816.574,893.678,-0.844915,0.211945,-0.491119,0.0131776,0.400209,0.245521,0.0982596,0.0592567,104,60
1748,952.561,821.93,895.62,0.7368,-0.581199,-0.345447,0.0142042,0.596813,0.404938,0.241672,0.124675,308,69
1746,949.285,814.292,894.322,-0.972356,0.062552,0.224968,0.0199397,0.3601,0.390692,0.140688,0.0463332,273,76
1804,952.657,820.171,893.547,-0.942933,-0.176234,-0.282523,0.0461861,0.691579,0.650382,0.44979,0.0899859,79,73
1744,951.743,821.283,897.478,-0.784248,0.592138,0.185277,0.00718109,0.348547,0.171362,0.0597278,0.0550103,307,79
1742,952.199,821.319,895.918,-0.647793,0.217033,-0.730247,0.027736,2.33115,1.51741,3.53731,1.19383,108,43
1737,939.892,806.883,895.389,0.487426,-0.695974,-0.527292,0.00662823,0.274034,0.128297,0.0351579,0.0263365,324,58
1736,941.733,808.419,897.775,-0.412014,0.495348,-0.764771,0.0217257,1.14153,0.803712,0.917464,0.396845,140,40
